product,product_label,geo_level,region,province,location,year,value_metric_tons,data_status
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2015,135.33,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2016,141.72,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2017,148.73,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2018,154.51,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2019,174.23,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2020,196.27,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2021,228.25,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2022,284.38,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2023,297.68,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2024,312.51,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2025,250.48,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Ifugao,2026,186.51,estimated_gap
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2010,192.17,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2011,190.35,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2012,195.75,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2013,243.0,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2014,257.0,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2015,238.14,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2016,160.4,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2017,134.46,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2018,134.36,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2019,105.95,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2020,137.59,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2021,145.5,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2022,156.99,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2023,180.07,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2024,180.58,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2025,204.78,official_psa
coconut_w_husk,Coconut (w/ husk),province,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,Kalinga,2026,175.28,estimated_gap
